sentence,n_subjects
Andy Garcia is an actor.,single
Andy and Gabrielle went to a party.,multiple
The children are playing in the park.,multiple
My grandparents are in town.,multiple
The pen name of Samuel Clemens is Mark Twain.,single
Mary's husband is a doctor.,single
John is reading a book.,single
Sarah and Mike are dancing.,multiple
The teacher is writing on the board.,single
Students are taking their exam.,multiple
My sister lives in Paris.,single
Tom and Jerry are cartoon characters.,multiple
The baby is sleeping.,single
The twins are identical.,multiple
David plays the guitar.,single
Emma and Olivia are best friends.,multiple
The president gave a speech.,single
The team won the championship.,multiple
My brother works at the bank.,single
The couple is getting married.,multiple
Peter is tall.,single
Jack and Jill went up the hill.,multiple
The musician performed brilliantly.,single
The choir sang beautifully.,multiple
Lisa bakes cookies.,single
Bob and Alice are programmers.,multiple
The doctor examined the patient.,single
The nurses work night shifts.,multiple
Michael drives a red car.,single
The boys are playing football.,multiple
Susan writes poetry.,single
Mark and Jane are teachers.,multiple
The pilot landed safely.,single
The passengers boarded the plane.,multiple
Helen paints landscapes.,single
The artists exhibited their work.,multiple
George is sleeping.,single
The brothers started a business.,multiple
The chef prepared dinner.,single
The cooks are very busy.,multiple
Amanda speaks French.,single
Paul and Mary study together.,multiple
The driver stopped suddenly.,single
The riders fell off their bikes.,multiple
Kevin won the race.,single
The runners finished the marathon.,multiple
Emily likes chocolate.,single
The girls went shopping.,multiple
The professor teaches mathematics.,single
The students take notes.,multiple
William wrote a novel.,single
The authors published their books.,multiple
Rachel sings beautifully.,single
The band members practice daily.,multiple
Daniel plays basketball.,single
The players scored points.,multiple
Laura works from home.,single
The employees had a meeting.,multiple
The dentist cleaned my teeth.,single
The doctors discussed the case.,multiple
Robert drives carefully.,single
The drivers stopped at the light.,multiple
Anna dances gracefully.,single
The dancers performed on stage.,multiple
The policeman directed traffic.,single
The officers patrol the streets.,multiple
Christopher is tall.,single
The neighbors are friendly.,multiple
Patricia bakes bread.,single
The bakers prepared pastries.,multiple
Timothy walks to school.,single
The children rode their bikes.,multiple
Elizabeth reads magazines.,single
The readers joined the club.,multiple
Andrew plays tennis.,single
The athletes trained hard.,multiple
Margaret gardens regularly.,single
The gardeners planted trees.,multiple
Thomas fixes cars.,single
The mechanics work late.,multiple
Jennifer teaches yoga.,single
