prompt,prompt_len,target
"Delgado Looks Ready to Fly Blue Jays Nest  TORONTO (Reuters) - The Toronto Blue Jays beat the New York  Yankees 4-2 on Saturday but are losing money, losing fans and  at the conclusion of the Major League season on Sunday could be  losing first baseman Carlos Delgado.",62,0
"Tour(ism) de force Bee Capitol Bureau. TOKYO - In the middle of Roppongi Hills, next door to the Hollywood Beauty Plaza and the cozy Tofu Caf restaurant, a three-story billboard of Arnold Schwarzenegger beams ",46,1
"Yawer demands help from UN for elections BAGHDAD -- Interim President Ghazi al-Yawer demanded more help from the United Nations ahead of the country's Jan. 30 elections, saying yesterday that poor security was no excuse for the world body to stay away.",57,1
"Apple testing guru banned from... testing TO ANYONE working in the technology press, the reluctance of Apple to send out review machines to magazines or websites is notorious.",32,0
Venerable Yacht Builder Tries to Regain Sea Legs Palmer Johnson hopes to its former glory by introducing a sleek new motor yacht design and concentrating on building boats.,32,0
"wheat (Canadian Press) Canadian Press - TORONTO (CP) - Field trials of genetically modified wheat are still being conducted in Canada by multinational biotech giant Monsanto despite a pledge earlier this year that the testing would be abandoned, critics said Tuesday.",48,1
"Web Desktop Moves Raise Security Alerts A pair of phishing vulnerabilities this week targeted at Google Inc. point to the kind of new threat Web companies can face as they expand their services into desktop applications, security experts say.",43,0
"Nice Ride: The Hydrogen Gremlin Long before President Bush ever put 'hydrogen' and 'economy' together in a sentence, a group of students at the University of California, Los Angeles, were revving the engine on their hydrogen-powered Gremlin. By Amit Asaravala.",59,0
"Clashes in Haitian capital kill at least 14 PORT-AU-PRINCE, Haiti - Three politicians allied with former president Jean-Bertrand Aristide were led away in handcuffs after a six-hour standoff at a radio station, and gunfire erupted today in Haiti #39;s capital where political clashes have left 14 dead ",70,1
"Tribune to stop charging for Spanish-language paper The Chicago-based media giant plans to turn Hoy, its Spanish-language daily, into a free newspaper in two of the three cities where it is sold, executives said Wednesday.",46,0
"Burmese junta frees 5,070 inmates Burma's ruling junta says it is releasing 5,070 prisoners who were arrested ""inappropriately"".",36,1
"Thousands Uprooted by Clashes in East Congo -U.N.  GOMA, Congo (Reuters) - Thousands of civilians have fled  their homes after clashes in the east of the Democratic  Republic of Congo, the United Nations said on Friday, but it  was unclear who was behind the violence.",64,1
Russia reports fair weather Moscows approval of the Kyoto Protocol is a major step in bringing the treaty into effect. Fifty-five countries (that emit 55 per cent of the worlds total CO2 emissions) must endorse the Kyoto pact before it can become binding.,54,1
Ontario to dedicate  #36;12.5 million to water studies and watershed protection (Canadian Press) Canadian Press - TORONTO (CP) - The effects of urban sprawl and industrial development on Ontario's ecologically sensitive watersheds will be more closely examined under a  #36;12.5 million provincial initiative.,68,1
"Hundreds Mourn Marine From Md.  Tracy Miller thinks about her son's touch and his voice, trying to grasp that she will never experience either again.",33,1
"Protests Target Bush at Summit in Chile (AP) AP - Riot police used water cannons and tear gas Friday to break up a demonstration by hundreds of rock-throwing protesters before more than 20,000 people marched to vent their anger at Pacific Rim leaders, particularly President Bush.",60,1
Aloisi sidelined for Sydney leg The Socceroos will be without forward John Aloisi for Tuesday night #39;s Confederations Cup second-leg qualifier against the Solomon Islands in Sydney.,39,0
"Shawn Fanning downloading again Boston #39; Northeastern University dropout Shawn Fanning, who tapped out the code to Napster in 1999, is back in the music downloading game.",39,0
Warring Afghan Factions Say Cease-fire Holding HERAT (Reuters) - A renegade Afghan militia commander and a spokesman for the governor of the western province of Herat said on Wednesday their forces were honoring a cease-fire brokered a day earlier by the US envoy to Afghanistan. ,60,1
Nephew: Suspicions about Arafat #39;s death Yasser Arafat #39;s nephew said Saturday the lack of a diagnosis of what led to his uncle #39;s death last month raised suspicions the Palestinian leader died of  quot;unnatural quot; causes.,63,1
"Kidnappers Release Robinho's Mother  SANTOS, Brazil (Reuters) - Kidnappers freed on Friday the  mother of Santos forward Robinho, one of Brazil's most talented  young players, 40 days after seizing her at gunpoint while she  was attending a barbecue.",63,0
"Hurricane Ivan Slams Alabama, Killing 8 GULF SHORES, Ala. - Hurricane Ivan slammed ashore early Thursday with winds of 130 mph, packing deadly tornadoes and a powerful punch of waves and rain that threatened to swamp communities from Louisiana to the Florida Panhandle...",57,1
"Reshaping a Reshaper of Landscapes The Rouse Company, the mall developer that has reshaped the nation's landscape, agreed to be acquired by General Growth Properties for \$7.2 billion in cash.",43,0
"Dell, Intel, Microsoft launch web services standard Industry giants AMD, Intel, Dell, Microsoft and Sun have thrown their weight behind a web services specification that could provide a common way for systems to access and exchange management information.",45,0
