prompt,prompt_len,target
Trump’s Sense of Timing on Nuclear Threats Confounds Experts.,14,False
Obama Sticks to a Deadline in Iraq .,9,True
"In Kenya, Selling or Importing Plastic Bags Will Cost You $19,000 — or Jail.",23,False
‘A New Message’: Russia Trains Its Propaganda Machine on Africa.,14,False
"Obama and Netanyahu, Distrustful Allies, Meet.",12,True
"Obama, Daring Congress, Acts to Overhaul Immigration.",13,True
"For Homesick Russian Tycoon, Instant of Ruin Came in Court.",14,False
When Joe Biden Voted to Let States Overturn Roe v. Wade.,16,False
Obama Finds a Bolder Voice on Race Issues.,11,True
"Hardened, Obama Strikes Tough Tone for Modest Agenda.",13,True
"On Stump, Obama Takes Sharper Tone.",10,True
Indians Rush Frantically to Launder Their ‘Black Money’.,13,False
"Senator’s Thesis Turns Out to Be Remix of Others’ Works, Uncited.",18,False
"Obama Endorses Hillary Clinton, and Urges Democrats to Unite.",14,True
House G.O.P. Returns Focus to Obamacare’s Spending Authority.,17,True
House Votes to Repeal Obamacare Tax Once Seen as Key to Health Law.,16,True
How Biden’s Discipline on Rebuilding the ‘Blue Wall’ Moved Him Close to Victory.,20,False
Obama’s Budget Seeks to Loosen Austerity Reins.,16,True
"Taking 3 States, Romney Looks Beyond G.O.P. Foes to Obama.",20,True
Democrats Seek Review of Russian Investment in Kentucky.,10,False
France’s Yellow Vests Reveal a Crisis of Mobility in All Its Forms.,17,False
"With a Poison Tongue, Putting a Smile on a Nation’s Aging Faces.",17,False
Tillerson’s News Conference Only Highlights Strains With Trump.,13,False
Obama Apologizes After Drone Kills American and Italian Held by Al Qaeda.,16,True
China’s Actions in Flu Cases Draw Critics.,11,False
"Obama, in Mosque Visit, Denounces Anti-Muslim Bias.",14,True
South Korean and Japanese Leaders to Join Obama at Meeting.,12,True
Old Rivalries Reignited a Fuse in South Sudan.,12,False
Obama Is Seen as Frustrating His Own Party.,11,True
"As ‘Death to America’ Chants Lose Power, Iran Retools Propaganda With Rap Videos.",20,False
Obama Offers Plan to Cut Deficit by Over $3 Trillion.,14,True
Al Qaeda Taking Deadly New Role in Syria’s Conflict.,13,False
Obama Weighs Steps to Cover Contraception.,10,True
Obama Mines for Voters With High-Tech Tools.,11,True
A Day Job Waiting for a Kill Shot a World Away.,13,False
"In Farewell, Obama Sets Red Lines That Would Pull Him Back Into Fray.",16,True
"50 Years After a Devastating Flood, Fears That Florence Remains Vulnerable.",17,False
Obama Tries to Calm Religious Tensions.,9,True
"Obama, Visiting Gulf, Tries to Lift Economy and Mood.",13,True
Obama’s Lofty Plans on Gun Violence Amount to Little Action.,15,True
Election Officials Directly Contradict Trump on Voting System Fraud.,12,False
Spreading the Mosque Shooting Video Is a Crime in New Zealand.,14,False
Obama Pursuing a Modest Agenda in State of Union.,13,True
"Divided on Impeaching Trump, Democrats Wrestle With Duty and Politics.",16,False
How a Race in the Balance Went to Obama.,11,True
"Obama, in Speech on ISIS, Promises Sustained Effort to Rout Militants.",17,True
"On Visit to Rwanda, Sarkozy Admits ‘Grave Errors’ in 1994 Genocide.",21,False
"Marine Le Pen, a Fierce Campaigner, Heads to Finale in French Election.",18,False
Obama Calls for a New Era of Civility in U.S. Politics.,17,True
"In Second Term, Obama Is Seen as Using ‘Hidden Hand’ Approach.",16,True
Diplomatic Scramble as Ally Is Pushed to the Exit.,13,False
Egyptian President’s Supporters Rally.,8,False
Enrollments Exceed Obama’s Target for Health Care Act.,14,True
"The Vaquita, the World’s Smallest Porpoise, Slips Closer to Extinction.",20,False
"In State of the Union, Obama Sets an Ambitious Agenda.",14,True
"His Options Few, Obama Rebukes Egypt’s Leaders.",14,True
"Criticized as Weak in Past Talks, Obama Takes Harder Line.",15,True
Obama’s Debt Plan Sets Stage for Long Battle Over Spending.,14,True
Kenya’s High Court Delays National Biometric ID Program.,13,False
Obama Casts Republicans as Stuck in the Past.,11,True
Obama’s ‘Boots on the Ground’: U.S. Special Forces Are Sent to Tackle Global Threats.,23,True
"Obama Designates National Monument in Maine, to Dismay of Some.",15,True
Move to Fight Obama’s Climate Plan Started Early.,12,True
"Shock Wave of Fireball Meteor Rattles Siberia, Injuring 1,200.",21,False
Trump Revives Keystone Pipeline Rejected by Obama.,10,True
South Africans Seek Meaning in a Shooting.,9,False
"Obamacare Repeal, Thought Dead in July, May Be Revived in Senate.",18,True
Seizing the Presidency to Suit His Own Needs.,11,False
"As Putin Tours Flooded Region, Questions of Negligence Arise.",15,False
Obama Budget Opens Rift for Democrats on Social Benefits.,11,True
Seizure of Ship From Argentina Forces Shake-Up.,13,False
Obama Says Same-Sex Marriage Should Be Legal.,11,True
"In Mocking Franken Over Claims of Sexual Misconduct, Trump Joins a Debate He Started.",18,False
"After 9/11 Trial Plan, Holder Hones Political Ear.",16,False
Boehner and Obama Nearing Deal on Cuts and Taxes.,14,True
"Obama Moves Off Political Sidelines, Earlier Than He Expected.",13,True
Russian Who Led U.S. Adoption Ban Has Flair for Celebrity and Controversy.,17,False
Ailing Obama Health Care Act May Have to Change to Survive.,14,True
"Obama Stresses Support for Israel, but Refuses to ‘Paper Over’ Discord.",18,True
"Obama Weighs Supreme Court Nominees, and Each Potential Battle.",14,True
"$400 Million to Iran Was Not a Ransom, Obama Says.",16,True
